Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20
Hubei,China,30.9756,112.2707,3.079166666666667,3.8179166666666666,7.265833333333333,6.489999999999999,5.470833333333334,2.7929166666666667,1.2175,1.4633333333333336,1.8091666666666668,1.86,1.3354166666666665,2.7616666666666667,1.9341666666666668,1.5529166666666665,3.22125,7.282916666666668,3.3125,1.7829166666666667,1.8225,3.28375,1.9879166666666668,2.6004166666666664,2.74875,6.793333333333334,8.728333333333333,1.6195833333333336,1.9945833333333336,2.170833333333333,1.8958333333333333,1.4962499999999999,3.3454166666666665,1.9441666666666666,3.28375,4.611666666666667,3.9249999999999994,5.175833333333333,4.1499999999999995,3.6625,1.3095833333333333,3.419583333333333,3.1733333333333333,2.0208333333333335,1.4145833333333335,2.6387500000000004,2.6033333333333335,1.3954166666666665,2.3699999999999997,6.89,2.120416666666667,3.4454166666666666,2.4479166666666665,5.461666666666666,1.375,1.8508333333333333,1.175,2.06875,2.9233333333333333,3.0987500000000003,3.4874999999999994,2.6770833333333335,6.525416666666666,3.3408333333333338,3.3408333333333338,3.3408333333333338,3.3408333333333338,3.3408333333333338,4.0175,3.8629166666666666,1.4425,1.1041666666666667,2.1366666666666667,4.127083333333332,3.8487500000000003,1.8150000000000002,1.6316666666666666,1.20625
Hunan,China,27.6104,111.7088,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4116666666666668,1.0279166666666668,0.8354166666666666,0.64625,0.8787499999999998,1.1658333333333335,1.5099999999999998,5.359583333333333,2.245416666666667,1.50125,1.0175,0.9520833333333334,1.1020833333333333,1.28375,0.9383333333333334,1.2733333333333334,2.475,1.3895833333333332,1.8370833333333334,1.7770833333333333,1.8391666666666666,1.3016666666666665,1.937916666666667,2.2220833333333334,1.9279166666666665,1.3091666666666668,1.01125,0.8012499999999999,1.1325,1.1345833333333333,2.700416666666667,1.7879166666666666,1.3129166666666667,0.7520833333333333,2.200833333333333,2.0295833333333335,0.9695833333333334,1.1241666666666665,0.9025,1.2233333333333334,1.4983333333333333,1.513333333333333,2.2475,1.8658333333333335,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,1.4087500000000002,2.401666666666667,1.7558333333333334,1.2391666666666667,1.0429166666666667,1.5854166666666665,1.3637500000000002,1.9420833333333334,1.3724999999999998,1.2008333333333334,0.9291666666666667
Inner Mongolia,China,44.0935,113.9448,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,4.175,2.7641666666666667,3.742916666666666,2.481666666666667,2.9466666666666668,4.309166666666667,3.99625,3.950416666666667,3.52375,4.095,6.108333333333334,5.804166666666667,2.6045833333333333,6.718333333333333,4.397916666666666,6.951666666666667,3.660833333333333,3.1558333333333337,4.13,4.40125,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,2.734583333333333,5.445416666666667,5.137083333333333,5.687083333333334,5.730416666666667,5.000416666666666,4.13375,5.0562499999999995,2.5233333333333334,2.106666666666667,6.458749999999999
Jiangsu,China,32.9711,119.455,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.0524999999999998,3.4295833333333334,2.606666666666667,2.8679166666666673,2.5050000000000003,3.3887500000000004,3.0887499999999997,1.5416666666666667,3.6641666666666666,3.4058333333333333,2.735
Jiangxi,China,27.614,115.7221,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,0.8316666666666667,0.7879166666666667,0.8975,1.4745833333333334,1.4008333333333332,3.858333333333334,3.154583333333333,1.9808333333333332,1.5820833333333333,0.8670833333333334,1.6125,1.5112499999999998,2.0658333333333334,0.8254166666666668,2.5308333333333333,2.0116666666666667,2.565,2.7641666666666667,1.3616666666666666,2.2404166666666665,2.6520833333333336,2.506666666666667,2.42375,2.2666666666666666,1.7995833333333335,0.9591666666666668,1.54875,1.4520833333333332,2.4725,2.1625,1.085,0.9441666666666668,1.91375,2.829166666666667,1.2258333333333333,1.2316666666666667,1.0429166666666667,1.325,1.3258333333333334,1.2249999999999999,3.602083333333333,2.415833333333333,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,1.9195833333333334,3.5137500000000004,1.8529166666666665,1.4633333333333336,1.0470833333333334,1.6633333333333333,1.3733333333333333,1.5633333333333332,1.8566666666666667,1.6816666666666666,0.99125
Jilin,China,43.6661,126.1923,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.5329166666666665,0.9845833333333333,3.68875,1.2012500000000002,5.227083333333334,4.064583333333334,2.8495833333333334,3.5229166666666667,3.4225,4.8525,1.8458333333333332,3.160833333333334,2.1975,1.7395833333333333,2.3375,3.685,4.73375,1.7725,2.6612500000000003,1.5633333333333332,1.5675,3.9583333333333335,1.8920833333333331,0.8983333333333333,1.0075,1.6545833333333337,3.3362499999999997,2.8475,3.5362500000000003,3.334166666666667,2.996666666666666,2.794583333333333,1.72,2.584166666666667,5.969583333333333,3.8866666666666667,4.1433333333333335,3.9175,2.9020833333333336,3.216666666666667,4.60125,3.0987500000000003,3.26625,3.0533333333333332,2.780416666666666,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,2.6458333333333335,3.9450000000000003,4.894583333333333,5.167083333333333,4.3637500000000005,2.3983333333333334,4.202083333333333,5.764583333333334,5.930833333333333,2.098333333333333,3.1195833333333334
Liaoning,China,41.2956,122.6085,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,5.697083333333334,6.819166666666668,8.707083333333333,7.9125000000000005,9.031666666666666,4.529166666666668,2.4658333333333333,2.080416666666667,2.19,3.653333333333333,4.153333333333333,7.273333333333333,4.575833333333334,7.06375,5.243333333333333,1.9383333333333332,5.960416666666666,2.97125,3.4729166666666664,2.1533333333333333,2.9462500000000005,5.447083333333334,5.179166666666666,7.070416666666667,2.866666666666667,5.331666666666667,5.2004166666666665,4.34875,4.820833333333333,5.469583333333333,3.6595833333333334,3.447083333333333,6.664999999999999,6.126249999999999,4.0125,8.225,6.383749999999999,5.192916666666666,2.4125,2.9749999999999996,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,3.805416666666666,2.836666666666666,7.364583333333333,7.929166666666667,6.697500000000001,4.84625,5.5512500000000005,5.733333333333333,6.34375,1.8145833333333332,2.1558333333333333
Macau,China,22.1667,113.55,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,3.1566666666666667,4.3116666666666665,7.9425,5.254166666666667,4.0304166666666665,5.425,6.276666666666666,6.1475,4.349583333333333,5.299166666666667,5.15125
Ningxia,China,37.2692,106.1655,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,5.542916666666667,4.183333333333334,2.0595833333333333,3.454166666666667,3.6054166666666667,2.0308333333333333,1.7837500000000002,1.6812500000000001,2.375833333333333,2.98375,2.3008333333333333
Qinghai,China,35.7452,95.9956,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,1.9570833333333333,2.2183333333333333,2.9320833333333334,2.2979166666666666,3.353333333333333,2.0966666666666662,1.8620833333333333,2.5079166666666666,2.2262500000000003,1.615,2.2150000000000003
