Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20
,Saint Lucia,13.9094,-60.9789,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.04166666666667,87.75,90.5,88.0,85.20833333333333,84.16666666666667,82.29166666666667,88.95833333333333,91.54166666666667,91.83333333333333,90.54166666666667,89.70833333333333,88.08333333333333,88.25,91.20833333333333
,Saint Vincent and the Grenadines,12.9843,-61.2872,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,80.08333333333333,82.33333333333333,83.29166666666667,84.75,76.29166666666667,73.91666666666667,73.875,77.58333333333333,76.58333333333333,78.33333333333333,76.08333333333333,76.54166666666667,88.16666666666667,86.41666666666667,88.04166666666667,89.66666666666667
,San Marino,43.9424,12.4578,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,75.0,90.95833333333333,71.41666666666667,72.79166666666667,91.66666666666667,73.29166666666667,67.58333333333333,72.08333333333333,58.458333333333336,75.54166666666667,81.41666666666667,83.08333333333333,66.0,66.625,76.45833333333333,69.41666666666667,68.625,74.25,78.16666666666667,81.375,52.583333333333336,52.583333333333336,52.583333333333336,52.583333333333336,52.666666666666664,87.79166666666667,77.26086956521739,85.20833333333333,76.25,57.458333333333336,61.75,73.83333333333333,67.25,69.875,68.29166666666667,54.333333333333336,44.875,34.291666666666664,41.833333333333336
,Saudi Arabia,24.0,45.0,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,15.208333333333334,12.625,22.875,34.333333333333336,24.75,18.291666666666668,9.125,7.5,31.625,42.041666666666664,26.25,19.5,15.125,18.625,19.833333333333332
,Senegal,14.4974,-14.4524,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,19.416666666666668,13.666666666666666,13.75,11.833333333333334,11.875,11.708333333333334,10.458333333333334,11.458333333333334,12.541666666666666,8.166666666666666,8.5,14.375,7.875,10.75
,Serbia,44.0165,21.0059,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,45.375,46.791666666666664,59.208333333333336,47.958333333333336,47.958333333333336,47.958333333333336,47.958333333333336,48.0,59.333333333333336,59.52173913043478,65.58333333333333,46.75,78.0,68.91666666666667,66.33333333333333,58.0,50.291666666666664,31.166666666666668,25.875,32.375,35.541666666666664,42.375
,Seychelles,-4.6796,55.492,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.66666666666667,84.625,89.04166666666667,86.625,84.125,87.54166666666667,88.04166666666667,84.25,85.5,87.58333333333333,91.0,87.875,90.79166666666667,88.0,87.08333333333333,89.95833333333333
,Singapore,1.2833,103.8333,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,83.25,78.45833333333333,82.0,83.25,83.25,83.25,83.25,83.25,83.66666666666667,81.66666666666667,83.20833333333333,81.08333333333333,83.75,83.875,86.29166666666667,84.70833333333333,86.41666666666667,88.16666666666667,88.625,90.91666666666667,89.625,84.29166666666667
,Slovakia,48.669,19.699,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,69.66666666666667,71.70833333333333,74.95833333333333,91.375,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.041666666666664,58.0,77.95833333333333,80.17391304347827,63.5,46.75,52.583333333333336,47.708333333333336,62.458333333333336,62.708333333333336,53.875,52.958333333333336,36.916666666666664,29.458333333333332,30.791666666666668,49.416666666666664
,Slovenia,46.1512,14.9955,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,36.25,77.54166666666667,58.708333333333336,54.041666666666664,56.666666666666664,66.66666666666667,67.0,66.45833333333333,75.33333333333333,61.791666666666664,36.25,36.25,36.25,36.25,36.25,63.666666666666664,68.3913043478261,76.79166666666667,47.416666666666664,49.291666666666664,42.958333333333336,51.083333333333336,56.833333333333336,54.125,52.416666666666664,41.625,35.166666666666664,39.125,44.666666666666664
,Somalia,5.1521,46.1996,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.625,62.666666666666664,61.0,61.5,68.45833333333333,66.375,62.291666666666664,55.166666666666664,46.25,48.208333333333336,50.083333333333336,48.458333333333336,57.583333333333336,60.625,60.333333333333336,64.91666666666667
,South Africa,-30.5595,22.9375,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,43.416666666666664,14.875,15.083333333333334,45.041666666666664,73.04166666666667,58.958333333333336,57.0,60.916666666666664,55.833333333333336,31.916666666666668,25.416666666666668,43.833333333333336,33.333333333333336,22.75,65.04166666666667
,Spain,40.0,-4.0,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,74.5,75.70833333333333,70.0,56.125,50.333333333333336,62.041666666666664,55.875,49.916666666666664,58.166666666666664,53.541666666666664,60.083333333333336,65.45833333333333,65.75,79.79166666666667,76.75,66.70833333333333,64.95833333333333,68.625,78.41666666666667,76.125,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,80.16666666666667,56.875,49.78260869565217,60.875,91.375,81.125,70.16666666666667,56.25,54.166666666666664,57.5,72.45833333333333,86.58333333333333,76.45833333333333,75.16666666666667,94.625
