Country | GR0 | theta_1 (bcg_cov) | theta_2 (temperature) | theta_3 (humidity) | theta_4 (tests/1k) | theta_5 (positives/100test) | GR_T
Israel | 1.2422176599502563 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1307224035263062
US | 1.2506057024002075 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2942904233932495
Poland | 1.2236967086791992 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1756036281585693
Tunisia | 1.2443019151687622 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1439763307571411
Sweden | 1.2216373682022095 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2050913572311401
Panama | 1.2845631837844849 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2200640439987183
Mexico | 1.2595601081848145 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2797437906265259
Turkey | 1.3536779880523682 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.3786593675613403
Denmark | 1.2919740676879883 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.233052134513855
Colombia | 1.2606443166732788 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1311593055725098
Philippines | 1.2359739542007446 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.093574047088623
Peru | 1.1571605205535889 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.079889178276062
Greece | 1.2413734197616577 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1296427249908447
Hungary | 1.260650396347046 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.184968113899231
Canada / Alberta | 1.283298373222351 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1848725080490112
India | 1.2568808794021606 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1838040351867676
Cuba | 1.2411842346191406 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.0972986221313477
Estonia | 1.2352043390274048 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1264095306396484
United Kingdom | 1.2320908308029175 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.1952069997787476
Thailand | 1.319795846939087 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.187779188156128
Chile | 1.3210471868515015 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2244151830673218
Norway | 1.2969003915786743 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2061649560928345
France | 1.321047306060791 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.3630300760269165
Canada / Ontario | 1.3469971418380737 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2561895847320557
Lithuania | 1.3128135204315186 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.230000376701355
Korea, South | 1.3115092515945435 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.2186145782470703
Australia / New South Wales | 1.2587970495224 | -5.647099442285253e-06 | -0.0025276867672801018 | -0.001411306206136942 | -0.0012297097127884626 | 0.0031331570353358984 | 1.0921255350112915
